# Filename: MIROC6_trend.1_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1      0.2017     0.27923    -0.32024      1.8109       2592
# Filename: MIROC6_trend.4_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.14404     0.15996    -0.20177      1.2784       2592
# Filename: MIROC6_trend.4_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.88577      3.0248       2592
# Filename: MIROC6_trend.4_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -1.3265      1.3507       2592
# Filename: MIROC6_trend.4_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.18236     0.23983     -0.3524      1.8875       2592
# Filename: MIROC6_trend.5_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.20882     0.30672    -0.20689      2.3401       2592
# Filename: MIROC6_trend.5_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.22242     0.27958    -0.29845      2.2625       2592
# Filename: MIROC6_trend.5_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1      0.2166     0.28985    -0.26033       2.329       2592
# Filename: MIROC6_trend.5_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.18716     0.28171    -0.68622      2.3034       2592
# Filename: MIROC6_trend.5_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.99483      1.1449       2592
# Filename: MIROC6_trend.5_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.74123     0.87168       2592
# Filename: MIROC6_trend.5_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.1718      5.0895       2592
# Filename: MIROC6_trend.5_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.0436      1.6566       2592
# Filename: MIROC6_trend.5_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.1371     0.99347       2592
# Filename: MIROC6_trend.5_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.85457      1.7225       2592
# Filename: MIROC6_trend.5_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.57464      2.6579       2592
# Filename: MIROC6_trend.5_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.24306     0.33657    -0.19013      2.7045       2592
# Filename: MIROC6_trend.5_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.18648     0.24122     -0.2827      1.9152       2592
# Filename: MIROC6_trend.5_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.95185      16.014       2592
# Filename: MIROC6_trend.5_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.66757      1.7651       2592
# Filename: MIROC6_trend.5_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.22954     0.29635    -0.16766      2.5596       2592
# Filename: MIROC6_trend.6_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.14886     0.18185    -0.47589      1.1334       2592
# Filename: MIROC6_trend.6_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.14769       0.196    -0.44294      1.3853       2592
# Filename: MIROC6_trend.6_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.14258      0.1775    -0.32169      1.4016       2592
# Filename: MIROC6_trend.6_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1      0.1762     0.26254      -1.509      1.4603       2592
# Filename: MIROC6_trend.6_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.93716      1.0666       2592
# Filename: MIROC6_trend.6_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -0.7966     0.62149       2592
# Filename: MIROC6_trend.6_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -2.9561      1.3872       2592
# Filename: MIROC6_trend.6_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.1086     0.68534       2592
# Filename: MIROC6_trend.6_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.2283     0.88813       2592
# Filename: MIROC6_trend.6_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.77137      1.4168       2592
# Filename: MIROC6_trend.6_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.29016      1.4348       2592
# Filename: MIROC6_trend.6_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.20016     0.26828    -0.27663      1.6523       2592
# Filename: MIROC6_trend.6_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.14746      0.1743    -0.54728      1.1592       2592
# Filename: MIROC6_trend.6_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -80.903     0.76681       2592
# Filename: MIROC6_trend.6_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan      -0.599      1.1946       2592
# Filename: MIROC6_trend.6_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.16871      0.1878    -0.21284      1.3416       2592
# Filename: MIROC6_trend.7_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.18869     0.27663    -0.29938      2.1682       2592
# Filename: MIROC6_trend.7_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.16849     0.24771    -0.61746      2.0437       2592
# Filename: MIROC6_trend.7_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.13228     0.19199    -0.30374      2.3906       2592
# Filename: MIROC6_trend.7_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.12552     0.16425    -0.56351      1.4275       2592
# Filename: MIROC6_trend.7_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.19748      1.5827       2592
# Filename: MIROC6_trend.7_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.66724     0.90432       2592
# Filename: MIROC6_trend.7_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.50546      6.0721       2592
# Filename: MIROC6_trend.7_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -5.7869     0.89568       2592
# Filename: MIROC6_trend.7_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.3408     0.83331       2592
# Filename: MIROC6_trend.7_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.59904      1.6493       2592
# Filename: MIROC6_trend.7_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -0.8108      2.3718       2592
# Filename: MIROC6_trend.7_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.15707     0.18257    -0.29647      1.6568       2592
# Filename: MIROC6_trend.7_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.13954     0.14055    -0.13845      1.5131       2592
# Filename: MIROC6_trend.7_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
