# Filename: trend.1_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.55137      1.1117       2592
# Filename: trend.8_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.17624     0.15899    -0.24184     0.69652       2592
# Filename: trend.8_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.19383     0.17851    -0.15173     0.80365       2592
# Filename: trend.8_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.47758      24.547       2592
# Filename: trend.8_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.69554     0.82898       2592
# Filename: trend.8_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.18461     0.17728    -0.17083     0.85233       2592
# Filename: trend.9_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19791      0.2005     -0.3984      1.1069       2592
# Filename: trend.9_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19021     0.21003    -0.23617      1.1199       2592
# Filename: trend.9_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21915     0.18489    -0.18482     0.82577       2592
# Filename: trend.9_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19913     0.23342    -0.33887     0.94667       2592
# Filename: trend.9_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.52014      1.5484       2592
# Filename: trend.9_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.48138      3.5306       2592
# Filename: trend.9_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan      -0.393       2.006       2592
# Filename: trend.9_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.40756      1.7041       2592
# Filename: trend.9_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.62001     0.71552       2592
# Filename: trend.9_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.42796      1.1157       2592
# Filename: trend.9_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.19532      2.5585       2592
# Filename: trend.9_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18393     0.16974     -0.3365     0.75414       2592
# Filename: trend.9_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
